"ref_edition","conference"
"conf/ds/1974","c1"
"journals/lncs/1991-546","c2"
"journals/lncs/1993-759","c3"
"journals/lncs/1994-910","c4"
"conf/nips/2008coa","c5"
"conf/aistats/2012","c6"
"conf/aistats/2010","c6"
"conf/aistats/2011","c6"
"conf/aistats/2007","c6"
"conf/colt/2012","c7"
"conf/aistats/2009","c6"
"conf/aistats/2010w","c8"
"conf/wapa/2010","c9"
"conf/acml/2011","c10"
"conf/wapa/2011","c9"
"conf/acml/2012","c10"
"conf/colt/2011","c7"
"conf/kdd/2009kddcup","c11"
"conf/kdd/2011kddcup","c11"
"conf/pkdd/2008fsdm","c12"
"conf/icgi/2012","c13"
"conf/acml/2010","c10"
"conf/icml/2011utl","c14"
"conf/mlsb/2009","c15"
"conf/nips/2009mscts","c16"
"conf/pakdd/2010fsdm","c12"
"conf/icml/2010ltr","c17"
"conf/wcci/2008cpc","c18"
"journals/jmlr/2006gpp","c19"
"conf/icml/2011otee","c20"
