"author","author_id"
"Daniel Genkin","a1"
"Daniel Gruss","a2"
"Michael Schwarz 0001","a3"
"Mike Hamburg","a4"
"Moritz Lipp","a5"
"Paul Kocher","a6"
"Stefan Mangard","a7"
"Thomas Prescher 0002","a8"
"Werner Haas 0004","a9"
"Yuval Yarom","a10"
"Frank Manola","a11"
"Michael L. Brodie","a12"
"Michael Stonebraker","a13"
"Farshad Nayeri","a14"
"Joe D. Morrison","a15"
"Mark F. Hornick","a16"
"Alejandro P. Buchmann","a17"
"Dimitrios Georgakopoulos","a18"
"M. Tamer Özsu","a19"
"Sandra Heiler","a20"
"Benjamin Hurwitz","a21"
"Cetin Ozbutun","a22"
"David Beech","a23"
"Jim Melton","a24"
"Jonathan Bauer","a25"
"Krishna G. Kulkarni","a26"
"Mike Kelley","a27"
"Phil Shaw","a28"
"Rolf Sander","a29"
"Thomas Ludwig 0001","a30"
"Claus-Rainer Rollinger","a31"
"Werner Emde","a32"
"Christoph Beierle","a33"
"Hans Uszkoreit","a34"
"Udo Pletat","a35"
"Ido Dagan","a36"
"Ulrike Rackow","a37"
"Ulrike Schwall","a38"
"Brigitte Bartsch-Spörl","a39"
"Burkhard Kehrbusch","a40"
"Erich Gehlen","a41"
"Gert Smolka","a42"
"Markus Höhfeld","a43"
"Birgit Wesche","a44"
"Christopher Habel","a45"
"Albert Maier","a46"
"Bernd Walter","a47"
"Michael Ley","a48"
"Stefan Benzschawel","a49"
"Egon Börger","a50"
"Roland Seiffert","a51"
"Gisela Schöpke","a52"
"Stefan Böttcher","a53"
"Rudi Studer","a54"
"Toni Bollinger","a55"
"Carola Eschenbach","a56"
"Manfred Schmidt-Schauß","a57"
"Hans-Joachim Goltz","a58"
"Otthein Herzog","a59"
"Bernhard Beckert","a60"
"Stefan J. Schierholz","a61"
"Birgit Wendholt","a62"
"Gudrun Klose","a63"
"Klaus Rehkämper","a64"
"Michael Herweg","a65"
"Mohammed Nadjib Khenkhar","a66"
"Simone Pribbenow","a67"
"Anja Theuner","a68"
"Peter H. Schmitt","a69"
"Claudia Maienborn","a70"
"Angelika Storrer","a71"
"Brigitte Bläser","a72"
"Esther König","a73"
"Claudia Mrotzek","a74"
"Stefan Börner","a75"
"Lutz Voelkel","a76"
"Kai-Uwe Carstensen","a77"
"Martin Hübner","a78"
"Ulrike Weiland","a79"
"Michael Czymmeck","a80"
"Michael Tarnowski","a81"
"Helmar Gust","a82"
"Mechthild Rickheit","a83"
"Petra Ludewig","a84"
"Kai von Luck","a85"
"Elisabeth Neugebauer","a86"
"Eric Mays","a87"
"Sitaram Lanka","a88"
"Petra Maier","a89"
"Bruce G. Lindsay 0001","a90"
"Michel E. Adiba","a91"
"Ewald Lang","a92"
"Thomas Pirlein","a93"
"Gerd Kortüm","a94"
"Ipke Wachsmuth","a95"
"Ingrid Renz","a96"
"Noam Paz","a97"
