"x","journal_id"
"meltdownattack.com","j1"
"GTE Laboratories Incorporated","j2"
"University of California at Berkeley","j3"
"ANSI X3H2","j4"
"ANSI X2H2","j5"
"IWBS Report","j6"
"LILOG-Report","j7"
"LILOG-Memo","j8"
"IBM Publication","j9"
"Research Report / RJ / IBM / San Jose, California","j10"
"Research Report / G / IBM / Cambridge Scientific Center","j11"
"Universität Trier, Mathematik/Informatik, Forschungsbericht","j12"
"Technical Report","j13"
"Forschungsberichte, TU Munich","j14"
"Digital System Research Center Report","j15"
"Compulog Newsletter","j16"
"Hydrology and Earth System Sciences","j17"
"Technical Rep. UKSC 0060, IBM United Kingdom Scientific Centre","j18"
"ETH Zurich, Department of Computer Science / Technical Report","j19"
"Sci. Eng. Ethics","j20"
